"k","signal_mode","beta","signal_cluster","cluster_n_otus_template","method","power","n_nonmissing"
2,"both",0.25,1,308,"euclidean",0.13,100
2,"both",0.25,1,308,"jaccard",0.3,100
2,"both",0.3,1,308,"AHC_euclidean",0.28,100
2,"both",0.3,1,308,"ILR_euclidean_pc0.01",0.48,100
2,"both",0.3,1,308,"ILR_euclidean_pc0.1",0.48,100
2,"both",0.3,1,308,"ILR_euclidean_pc0.5",0.48,100
2,"both",0.3,1,308,"ILR_euclidean_pc1",0.49,100
2,"both",0.3,1,308,"aitchison",0.48,100
2,"both",0.3,1,308,"aitchison_pc0.01",0.48,100
2,"both",0.3,1,308,"aitchison_pc0.1",0.48,100
2,"both",0.3,1,308,"aitchison_pc1",0.48,100
2,"both",0.3,1,308,"bray",0.32,100
2,"both",0.3,1,308,"euclidean",0.14,100
2,"both",0.3,1,308,"jaccard",0.47,100
2,"both",0.35,1,308,"AHC_euclidean",0.35,100
2,"both",0.35,1,308,"ILR_euclidean_pc0.01",0.7,100
2,"both",0.35,1,308,"ILR_euclidean_pc0.1",0.7,100
2,"both",0.35,1,308,"ILR_euclidean_pc0.5",0.72,100
2,"both",0.35,1,308,"ILR_euclidean_pc1",0.73,100
2,"both",0.35,1,308,"aitchison",0.71,100
2,"both",0.35,1,308,"aitchison_pc0.01",0.68,100
2,"both",0.35,1,308,"aitchison_pc0.1",0.7,100
2,"both",0.35,1,308,"aitchison_pc1",0.72,100
2,"both",0.35,1,308,"bray",0.32,100
2,"both",0.35,1,308,"euclidean",0.08,100
2,"both",0.35,1,308,"jaccard",0.76,100
2,"both",0.4,1,308,"AHC_euclidean",0.49,100
2,"both",0.4,1,308,"ILR_euclidean_pc0.01",0.8,100
2,"both",0.4,1,308,"ILR_euclidean_pc0.1",0.81,100
2,"both",0.4,1,308,"ILR_euclidean_pc0.5",0.81,100
2,"both",0.4,1,308,"ILR_euclidean_pc1",0.82,100
2,"both",0.4,1,308,"aitchison",0.82,100
2,"both",0.4,1,308,"aitchison_pc0.01",0.78,100
2,"both",0.4,1,308,"aitchison_pc0.1",0.81,100
2,"both",0.4,1,308,"aitchison_pc1",0.8,100
2,"both",0.4,1,308,"bray",0.47,100
2,"both",0.4,1,308,"euclidean",0.2,100
2,"both",0.4,1,308,"jaccard",0.95,100
2,"both",0.45,1,308,"AHC_euclidean",0.68,100
2,"both",0.45,1,308,"ILR_euclidean_pc0.01",0.98,100
2,"both",0.45,1,308,"ILR_euclidean_pc0.1",0.99,100
2,"both",0.45,1,308,"ILR_euclidean_pc0.5",1,100
2,"both",0.45,1,308,"ILR_euclidean_pc1",1,100
2,"both",0.45,1,308,"aitchison",0.99,100
2,"both",0.45,1,308,"aitchison_pc0.01",0.98,100
2,"both",0.45,1,308,"aitchison_pc0.1",0.99,100
2,"both",0.45,1,308,"aitchison_pc1",0.99,100
2,"both",0.45,1,308,"bray",0.6,100
2,"both",0.45,1,308,"euclidean",0.19,100
2,"both",0.45,1,308,"jaccard",0.99,100
2,"both",0.5,1,308,"AHC_euclidean",0.8,100
2,"both",0.5,1,308,"ILR_euclidean_pc0.01",0.98,100
2,"both",0.5,1,308,"ILR_euclidean_pc0.1",0.99,100
2,"both",0.5,1,308,"ILR_euclidean_pc0.5",1,100
2,"both",0.5,1,308,"ILR_euclidean_pc1",1,100
2,"both",0.5,1,308,"aitchison",1,100
2,"both",0.5,1,308,"aitchison_pc0.01",0.98,100
2,"both",0.5,1,308,"aitchison_pc0.1",1,100
2,"both",0.5,1,308,"aitchison_pc1",1,100
2,"both",0.5,1,308,"bray",0.76,100
2,"both",0.5,1,308,"euclidean",0.3,100
2,"both",0.5,1,308,"jaccard",1,100
2,"both",0.55,1,308,"AHC_euclidean",0.91,100
2,"both",0.55,1,308,"ILR_euclidean_pc0.01",1,100
2,"both",0.55,1,308,"ILR_euclidean_pc0.1",1,100
2,"both",0.55,1,308,"ILR_euclidean_pc0.5",1,100
2,"both",0.55,1,308,"ILR_euclidean_pc1",1,100
2,"both",0.55,1,308,"aitchison",1,100
2,"both",0.55,1,308,"aitchison_pc0.01",1,100
2,"both",0.55,1,308,"aitchison_pc0.1",1,100
2,"both",0.55,1,308,"aitchison_pc1",1,100
2,"both",0.55,1,308,"bray",0.85,100
2,"both",0.55,1,308,"euclidean",0.33,100
2,"both",0.55,1,308,"jaccard",1,100
2,"both",0.6,1,308,"AHC_euclidean",0.96,100
2,"both",0.6,1,308,"ILR_euclidean_pc0.01",1,100
2,"both",0.6,1,308,"ILR_euclidean_pc0.1",1,100
2,"both",0.6,1,308,"ILR_euclidean_pc0.5",1,100
2,"both",0.6,1,308,"ILR_euclidean_pc1",1,100
2,"both",0.6,1,308,"aitchison",1,100
2,"both",0.6,1,308,"aitchison_pc0.01",1,100
2,"both",0.6,1,308,"aitchison_pc0.1",1,100
2,"both",0.6,1,308,"aitchison_pc1",1,100
2,"both",0.6,1,308,"bray",0.93,100
2,"both",0.6,1,308,"euclidean",0.38,100
2,"both",0.6,1,308,"jaccard",1,100
2,"both",0.65,1,308,"AHC_euclidean",0.98,100
2,"both",0.65,1,308,"ILR_euclidean_pc0.01",1,100
2,"both",0.65,1,308,"ILR_euclidean_pc0.1",1,100
2,"both",0.65,1,308,"ILR_euclidean_pc0.5",1,100
2,"both",0.65,1,308,"ILR_euclidean_pc1",1,100
2,"both",0.65,1,308,"aitchison",1,100
2,"both",0.65,1,308,"aitchison_pc0.01",1,100
2,"both",0.65,1,308,"aitchison_pc0.1",1,100
2,"both",0.65,1,308,"aitchison_pc1",1,100
2,"both",0.65,1,308,"bray",0.99,100
2,"both",0.65,1,308,"euclidean",0.48,100
2,"both",0.65,1,308,"jaccard",1,100
2,"both",0.7,1,308,"AHC_euclidean",0.98,100
2,"both",0.7,1,308,"ILR_euclidean_pc0.01",1,100
2,"both",0.7,1,308,"ILR_euclidean_pc0.1",1,100
2,"both",0.7,1,308,"ILR_euclidean_pc0.5",1,100
2,"both",0.7,1,308,"ILR_euclidean_pc1",1,100
2,"both",0.7,1,308,"aitchison",1,100
2,"both",0.7,1,308,"aitchison_pc0.01",1,100
2,"both",0.7,1,308,"aitchison_pc0.1",1,100
2,"both",0.7,1,308,"aitchison_pc1",1,100
2,"both",0.7,1,308,"bray",0.98,100
2,"both",0.7,1,308,"euclidean",0.5,100
2,"both",0.7,1,308,"jaccard",1,100
2,"both",0.75,1,308,"AHC_euclidean",0.99,100
2,"both",0.75,1,308,"ILR_euclidean_pc0.01",1,100
2,"both",0.75,1,308,"ILR_euclidean_pc0.1",1,100
2,"both",0.75,1,308,"ILR_euclidean_pc0.5",1,100
2,"both",0.75,1,308,"ILR_euclidean_pc1",1,100
2,"both",0.75,1,308,"aitchison",1,100
2,"both",0.75,1,308,"aitchison_pc0.01",1,100
2,"both",0.75,1,308,"aitchison_pc0.1",1,100
2,"both",0.75,1,308,"aitchison_pc1",1,100
2,"both",0.75,1,308,"bray",0.99,100
2,"both",0.75,1,308,"euclidean",0.71,100
2,"both",0.75,1,308,"jaccard",1,100
2,"both",0.8,1,308,"AHC_euclidean",1,100
2,"both",0.8,1,308,"ILR_euclidean_pc0.01",1,100
2,"both",0.8,1,308,"ILR_euclidean_pc0.1",1,100
2,"both",0.8,1,308,"ILR_euclidean_pc0.5",1,100
2,"both",0.8,1,308,"ILR_euclidean_pc1",1,100
2,"both",0.8,1,308,"aitchison",1,100
2,"both",0.8,1,308,"aitchison_pc0.01",1,100
2,"both",0.8,1,308,"aitchison_pc0.1",1,100
2,"both",0.8,1,308,"aitchison_pc1",1,100
2,"both",0.8,1,308,"bray",1,100
2,"both",0.8,1,308,"euclidean",0.55,100
2,"both",0.8,1,308,"jaccard",1,100
2,"both",0.85,1,308,"AHC_euclidean",1,100
2,"both",0.85,1,308,"ILR_euclidean_pc0.01",1,100
2,"both",0.85,1,308,"ILR_euclidean_pc0.1",1,100
2,"both",0.85,1,308,"ILR_euclidean_pc0.5",1,100
2,"both",0.85,1,308,"ILR_euclidean_pc1",1,100
2,"both",0.85,1,308,"aitchison",1,100
2,"both",0.85,1,308,"aitchison_pc0.01",1,100
2,"both",0.85,1,308,"aitchison_pc0.1",1,100
2,"both",0.85,1,308,"aitchison_pc1",1,100
2,"both",0.85,1,308,"bray",1,100
2,"both",0.85,1,308,"euclidean",0.75,100
2,"both",0.85,1,308,"jaccard",1,100
2,"both",0.9,1,308,"AHC_euclidean",1,100
2,"both",0.9,1,308,"ILR_euclidean_pc0.01",1,100
2,"both",0.9,1,308,"ILR_euclidean_pc0.1",1,100
2,"both",0.9,1,308,"ILR_euclidean_pc0.5",1,100
2,"both",0.9,1,308,"ILR_euclidean_pc1",1,100
2,"both",0.9,1,308,"aitchison",1,100
2,"both",0.9,1,308,"aitchison_pc0.01",1,100
2,"both",0.9,1,308,"aitchison_pc0.1",1,100
2,"both",0.9,1,308,"aitchison_pc1",1,100
2,"both",0.9,1,308,"bray",1,100
2,"both",0.9,1,308,"euclidean",0.81,100
2,"both",0.9,1,308,"jaccard",1,100
2,"both",0.95,1,308,"AHC_euclidean",1,100
