"k","signal_mode","method","way","type1_error","n_nonmissing","total_weight","signal_cluster","cluster_n_otus_template","method_label"
6,"both","ILR_euclidean_pc0.1","abund_sum",0.0384,600,87471.7473,NA,NA,"ILR Euclidean(0.1)"
6,"both","ILR_euclidean_pc0.5","abund_sum",0.0349,600,87471.7473,NA,NA,"ILR Euclidean(0.5)"
6,"both","ILR_euclidean_pc1","abund_sum",0.0332,600,87471.7473,NA,NA,"ILR Euclidean(1)"
6,"both","bray","abund_sum",0.0474,600,87471.7473,NA,NA,"Bray-Curtis"
6,"both","euclidean","abund_sum",0.051,600,87471.7473,NA,NA,"Euclidean"
6,"both","jaccard","abund_sum",0.0434,600,87471.7473,NA,NA,"Jaccard"
6,"prevalence","AHC_euclidean","abund_sum",0.0681,600,87471.7473,NA,NA,"AHC"
6,"prevalence","aitchison","abund_sum",0.0603,600,87471.7473,NA,NA,"Aitchison(0.5)"
6,"prevalence","aitchison_pc1","abund_sum",0.0575,600,87471.7473,NA,NA,"Aitchison(1)"
6,"prevalence","aitchison_pc0.1","abund_sum",0.0604,600,87471.7473,NA,NA,"Aitchison(0.1)"
6,"prevalence","aitchison_pc0.01","abund_sum",0.0612,600,87471.7473,NA,NA,"Aitchison(0.01)"
6,"prevalence","ILR_euclidean_pc0.01","abund_sum",0.0584,600,87471.7473,NA,NA,"ILR Euclidean(0.01)"
6,"prevalence","ILR_euclidean_pc0.1","abund_sum",0.0554,600,87471.7473,NA,NA,"ILR Euclidean(0.1)"
6,"prevalence","ILR_euclidean_pc0.5","abund_sum",0.0553,600,87471.7473,NA,NA,"ILR Euclidean(0.5)"
6,"prevalence","ILR_euclidean_pc1","abund_sum",0.0569,600,87471.7473,NA,NA,"ILR Euclidean(1)"
6,"prevalence","bray","abund_sum",0.0602,600,87471.7473,NA,NA,"Bray-Curtis"
6,"prevalence","euclidean","abund_sum",0.0516,600,87471.7473,NA,NA,"Euclidean"
6,"prevalence","jaccard","abund_sum",0.0645,600,87471.7473,NA,NA,"Jaccard"
8,"abundance","AHC_euclidean","abund_sum",0.0426,800,87471.7473,NA,NA,"AHC"
8,"abundance","aitchison","abund_sum",0.0436,800,87471.7473,NA,NA,"Aitchison(0.5)"
8,"abundance","aitchison_pc1","abund_sum",0.0388,800,87471.7473,NA,NA,"Aitchison(1)"
8,"abundance","aitchison_pc0.1","abund_sum",0.0426,800,87471.7473,NA,NA,"Aitchison(0.1)"
8,"abundance","aitchison_pc0.01","abund_sum",0.0403,800,87471.7473,NA,NA,"Aitchison(0.01)"
8,"abundance","ILR_euclidean_pc0.01","abund_sum",0.0408,800,87471.7473,NA,NA,"ILR Euclidean(0.01)"
8,"abundance","ILR_euclidean_pc0.1","abund_sum",0.0445,800,87471.7473,NA,NA,"ILR Euclidean(0.1)"
8,"abundance","ILR_euclidean_pc0.5","abund_sum",0.0418,800,87471.7473,NA,NA,"ILR Euclidean(0.5)"
8,"abundance","ILR_euclidean_pc1","abund_sum",0.0389,800,87471.7473,NA,NA,"ILR Euclidean(1)"
8,"abundance","bray","abund_sum",0.0484,800,87471.7473,NA,NA,"Bray-Curtis"
8,"abundance","euclidean","abund_sum",0.0527,800,87471.7473,NA,NA,"Euclidean"
8,"abundance","jaccard","abund_sum",0.0338,800,87471.7473,NA,NA,"Jaccard"
8,"both","AHC_euclidean","abund_sum",0.0457,800,87471.7473,NA,NA,"AHC"
8,"both","aitchison","abund_sum",0.057,800,87471.7473,NA,NA,"Aitchison(0.5)"
