"panel","k","beta","method","empirical_power","n_replicates"
"Joint",2,0.2,"Aitchison (0.1)",0.28,100
"Joint",2,0.2,"Aitchison (1)",0.32,100
"Joint",2,0.2,"Bray-Curtis",0.15,100
"Joint",2,0.2,"Euclidean",0.09,100
"Joint",2,0.2,"Jaccard",0.28,100
"Joint",2,0.25,"HRIC distance",0.23,100
"Joint",2,0.25,"ILR-Euclidean (0.01)",0.25,100
"Joint",2,0.25,"ILR-Euclidean (0.1)",0.26,100
"Joint",2,0.25,"ILR-Euclidean (0.5)",0.28,100
"Joint",2,0.25,"ILR-Euclidean (1)",0.27,100
"Joint",2,0.25,"Aitchison (0.5)",0.27,100
"Joint",2,0.25,"Aitchison (0.01)",0.25,100
"Joint",2,0.25,"Aitchison (0.1)",0.3,100
"Joint",2,0.25,"Aitchison (1)",0.27,100
"Joint",2,0.25,"Bray-Curtis",0.18,100
"Joint",2,0.25,"Euclidean",0.13,100
"Joint",2,0.25,"Jaccard",0.3,100
"Joint",2,0.3,"HRIC distance",0.28,100
"Joint",2,0.3,"ILR-Euclidean (0.01)",0.48,100
"Joint",2,0.3,"ILR-Euclidean (0.1)",0.48,100
"Joint",2,0.3,"ILR-Euclidean (0.5)",0.48,100
"Joint",2,0.3,"ILR-Euclidean (1)",0.49,100
"Joint",2,0.3,"Aitchison (0.5)",0.48,100
"Joint",2,0.3,"Aitchison (0.01)",0.48,100
"Joint",2,0.3,"Aitchison (0.1)",0.48,100
"Joint",2,0.3,"Aitchison (1)",0.48,100
"Joint",2,0.3,"Bray-Curtis",0.32,100
"Joint",2,0.3,"Euclidean",0.14,100
"Joint",2,0.3,"Jaccard",0.47,100
"Joint",2,0.35,"HRIC distance",0.35,100
"Joint",2,0.35,"ILR-Euclidean (0.01)",0.7,100
"Joint",2,0.35,"ILR-Euclidean (0.1)",0.7,100
"Joint",2,0.35,"ILR-Euclidean (0.5)",0.72,100
"Joint",2,0.35,"ILR-Euclidean (1)",0.73,100
"Joint",2,0.35,"Aitchison (0.5)",0.71,100
"Joint",2,0.35,"Aitchison (0.01)",0.68,100
"Joint",2,0.35,"Aitchison (0.1)",0.7,100
"Joint",2,0.35,"Aitchison (1)",0.72,100
"Joint",2,0.35,"Bray-Curtis",0.32,100
"Joint",2,0.35,"Euclidean",0.08,100
"Joint",2,0.35,"Jaccard",0.76,100
"Joint",2,0.4,"HRIC distance",0.49,100
"Joint",2,0.4,"ILR-Euclidean (0.01)",0.8,100
"Joint",2,0.4,"ILR-Euclidean (0.1)",0.81,100
"Joint",2,0.4,"ILR-Euclidean (0.5)",0.81,100
"Joint",2,0.4,"ILR-Euclidean (1)",0.82,100
"Joint",2,0.4,"Aitchison (0.5)",0.82,100
"Joint",2,0.4,"Aitchison (0.01)",0.78,100
"Joint",2,0.4,"Aitchison (0.1)",0.81,100
"Joint",2,0.4,"Aitchison (1)",0.8,100
"Joint",2,0.4,"Bray-Curtis",0.47,100
"Joint",2,0.4,"Euclidean",0.2,100
"Joint",2,0.4,"Jaccard",0.95,100
"Joint",2,0.45,"HRIC distance",0.68,100
"Joint",2,0.45,"ILR-Euclidean (0.01)",0.98,100
"Joint",2,0.45,"ILR-Euclidean (0.1)",0.99,100
"Joint",2,0.45,"ILR-Euclidean (0.5)",1,100
"Joint",2,0.45,"ILR-Euclidean (1)",1,100
"Joint",2,0.45,"Aitchison (0.5)",0.99,100
"Joint",2,0.45,"Aitchison (0.01)",0.98,100
"Joint",2,0.45,"Aitchison (0.1)",0.99,100
"Joint",2,0.45,"Aitchison (1)",0.99,100
"Joint",2,0.45,"Bray-Curtis",0.6,100
"Joint",2,0.45,"Euclidean",0.19,100
"Joint",2,0.45,"Jaccard",0.99,100
"Joint",2,0.5,"HRIC distance",0.8,100
"Joint",2,0.5,"ILR-Euclidean (0.01)",0.98,100
"Joint",2,0.5,"ILR-Euclidean (0.1)",0.99,100
"Joint",2,0.5,"ILR-Euclidean (0.5)",1,100
"Joint",2,0.5,"ILR-Euclidean (1)",1,100
"Joint",2,0.5,"Aitchison (0.5)",1,100
"Joint",2,0.5,"Aitchison (0.01)",0.98,100
"Joint",2,0.5,"Aitchison (0.1)",1,100
"Joint",2,0.5,"Aitchison (1)",1,100
"Joint",2,0.5,"Bray-Curtis",0.76,100
"Joint",2,0.5,"Euclidean",0.3,100
"Joint",2,0.5,"Jaccard",1,100
"Joint",2,0.55,"HRIC distance",0.91,100
"Joint",2,0.55,"ILR-Euclidean (0.01)",1,100
"Joint",2,0.55,"ILR-Euclidean (0.1)",1,100
"Joint",2,0.55,"ILR-Euclidean (0.5)",1,100
"Joint",2,0.55,"ILR-Euclidean (1)",1,100
"Joint",2,0.55,"Aitchison (0.5)",1,100
"Joint",2,0.55,"Aitchison (0.01)",1,100
"Joint",2,0.55,"Aitchison (0.1)",1,100
"Joint",2,0.55,"Aitchison (1)",1,100
"Joint",2,0.55,"Bray-Curtis",0.85,100
"Joint",2,0.55,"Euclidean",0.33,100
"Joint",2,0.55,"Jaccard",1,100
"Joint",2,0.6,"HRIC distance",0.96,100
"Joint",2,0.6,"ILR-Euclidean (0.01)",1,100
"Joint",2,0.6,"ILR-Euclidean (0.1)",1,100
"Joint",2,0.6,"ILR-Euclidean (0.5)",1,100
"Joint",2,0.6,"ILR-Euclidean (1)",1,100
"Joint",2,0.6,"Aitchison (0.5)",1,100
"Joint",2,0.6,"Aitchison (0.01)",1,100
"Joint",2,0.6,"Aitchison (0.1)",1,100
"Joint",2,0.6,"Aitchison (1)",1,100
"Joint",2,0.6,"Bray-Curtis",0.93,100
"Joint",2,0.6,"Euclidean",0.38,100
"Joint",2,0.6,"Jaccard",1,100
"Joint",2,0.65,"HRIC distance",0.98,100
"Joint",2,0.65,"ILR-Euclidean (0.01)",1,100
"Joint",2,0.65,"ILR-Euclidean (0.1)",1,100
"Joint",2,0.65,"ILR-Euclidean (0.5)",1,100
"Joint",2,0.65,"ILR-Euclidean (1)",1,100
"Joint",2,0.65,"Aitchison (0.5)",1,100
"Joint",2,0.65,"Aitchison (0.01)",1,100
"Joint",2,0.65,"Aitchison (0.1)",1,100
"Joint",2,0.65,"Aitchison (1)",1,100
"Joint",2,0.65,"Bray-Curtis",0.99,100
"Joint",2,0.65,"Euclidean",0.48,100
"Joint",2,0.65,"Jaccard",1,100
"Joint",2,0.7,"HRIC distance",0.98,100
"Joint",2,0.7,"ILR-Euclidean (0.01)",1,100
"Joint",2,0.7,"ILR-Euclidean (0.1)",1,100
"Joint",2,0.7,"ILR-Euclidean (0.5)",1,100
"Joint",2,0.7,"ILR-Euclidean (1)",1,100
"Joint",2,0.7,"Aitchison (0.5)",1,100
"Joint",2,0.7,"Aitchison (0.01)",1,100
"Joint",2,0.7,"Aitchison (0.1)",1,100
"Joint",2,0.7,"Aitchison (1)",1,100
"Joint",2,0.7,"Bray-Curtis",0.98,100
"Joint",2,0.7,"Euclidean",0.5,100
"Joint",2,0.7,"Jaccard",1,100
"Joint",2,0.75,"HRIC distance",0.99,100
"Joint",2,0.75,"ILR-Euclidean (0.01)",1,100
"Joint",2,0.75,"ILR-Euclidean (0.1)",1,100
"Joint",2,0.75,"ILR-Euclidean (0.5)",1,100
"Joint",2,0.75,"ILR-Euclidean (1)",1,100
"Joint",2,0.75,"Aitchison (0.5)",1,100
"Joint",2,0.75,"Aitchison (0.01)",1,100
"Joint",2,0.75,"Aitchison (0.1)",1,100
"Joint",2,0.75,"Aitchison (1)",1,100
"Joint",2,0.75,"Bray-Curtis",0.99,100
"Joint",2,0.75,"Euclidean",0.71,100
"Joint",2,0.75,"Jaccard",1,100
"Joint",2,0.8,"HRIC distance",1,100
"Joint",2,0.8,"ILR-Euclidean (0.01)",1,100
"Joint",2,0.8,"ILR-Euclidean (0.1)",1,100
"Joint",2,0.8,"ILR-Euclidean (0.5)",1,100
"Joint",2,0.8,"ILR-Euclidean (1)",1,100
"Joint",2,0.8,"Aitchison (0.5)",1,100
"Joint",2,0.8,"Aitchison (0.01)",1,100
"Joint",2,0.8,"Aitchison (0.1)",1,100
"Joint",2,0.8,"Aitchison (1)",1,100
"Joint",2,0.8,"Bray-Curtis",1,100
"Joint",2,0.8,"Euclidean",0.55,100
"Joint",2,0.8,"Jaccard",1,100
"Joint",2,0.85,"HRIC distance",1,100
"Joint",2,0.85,"ILR-Euclidean (0.01)",1,100
"Joint",2,0.85,"ILR-Euclidean (0.1)",1,100
"Joint",2,0.85,"ILR-Euclidean (0.5)",1,100
"Joint",2,0.85,"ILR-Euclidean (1)",1,100
"Joint",2,0.85,"Aitchison (0.5)",1,100
"Joint",2,0.85,"Aitchison (0.01)",1,100
"Joint",2,0.85,"Aitchison (0.1)",1,100
"Joint",2,0.85,"Aitchison (1)",1,100
"Joint",2,0.85,"Bray-Curtis",1,100
"Joint",2,0.85,"Euclidean",0.75,100
"Joint",2,0.85,"Jaccard",1,100
"Joint",2,0.9,"HRIC distance",1,100
"Joint",2,0.9,"ILR-Euclidean (0.01)",1,100
"Joint",2,0.9,"ILR-Euclidean (0.1)",1,100
"Joint",2,0.9,"ILR-Euclidean (0.5)",1,100
"Joint",2,0.9,"ILR-Euclidean (1)",1,100
"Joint",2,0.9,"Aitchison (0.5)",1,100
"Joint",2,0.9,"Aitchison (0.01)",1,100
"Joint",2,0.9,"Aitchison (0.1)",1,100
"Joint",2,0.9,"Aitchison (1)",1,100
"Joint",2,0.9,"Bray-Curtis",1,100
"Joint",2,0.9,"Euclidean",0.81,100
"Joint",2,0.9,"Jaccard",1,100
"Joint",2,0.95,"HRIC distance",1,100
"Joint",2,0.95,"ILR-Euclidean (0.01)",1,100
"Joint",2,0.95,"ILR-Euclidean (0.1)",1,100
"Joint",2,0.95,"ILR-Euclidean (0.5)",1,100
"Joint",2,0.95,"ILR-Euclidean (1)",1,100
"Joint",2,0.95,"Aitchison (0.5)",1,100
"Joint",2,0.95,"Aitchison (0.01)",1,100
"Joint",2,0.95,"Aitchison (0.1)",1,100
"Joint",2,0.95,"Aitchison (1)",1,100
"Joint",2,0.95,"Bray-Curtis",1,100
"Joint",2,0.95,"Euclidean",0.86,100
"Joint",2,0.95,"Jaccard",1,100
"Joint",2,1,"HRIC distance",1,100
"Joint",2,1,"ILR-Euclidean (0.01)",1,100
"Joint",2,1,"ILR-Euclidean (0.1)",1,100
"Joint",2,1,"ILR-Euclidean (0.5)",1,100
"Joint",2,1,"ILR-Euclidean (1)",1,100
"Joint",2,1,"Aitchison (0.5)",1,100
"Joint",2,1,"Aitchison (0.01)",1,100
"Joint",2,1,"Aitchison (0.1)",1,100
"Joint",2,1,"Aitchison (1)",1,100
"Joint",2,1,"Bray-Curtis",1,100
"Joint",2,1,"Euclidean",0.9,100
"Joint",2,1,"Jaccard",1,100
"Prevalence",2,0.05,"HRIC distance",0.05,100
"Prevalence",2,0.05,"ILR-Euclidean (0.01)",0.05,100
"Prevalence",2,0.05,"ILR-Euclidean (0.1)",0.05,100
"Prevalence",2,0.05,"ILR-Euclidean (0.5)",0.06,100
"Prevalence",2,0.05,"ILR-Euclidean (1)",0.06,100
