"BootstrapIteration","Outcome","WindowEnd","Window","Estimate"
60,"HRIC distance to personal baseline",30,"Day 1-30",-0.490048448906024
60,"HRIC alpha diversity",60,"Day 1-60",0.0220660150225848
60,"HRIC distance to personal baseline",60,"Day 1-60",-0.426399582010834
61,"HRIC alpha diversity",30,"Day 1-30",0.0273096910621595
61,"HRIC distance to personal baseline",30,"Day 1-30",-0.517580488142133
61,"HRIC alpha diversity",60,"Day 1-60",0.0118249943622025
61,"HRIC distance to personal baseline",60,"Day 1-60",-0.390755811253474
62,"HRIC alpha diversity",30,"Day 1-30",-0.00626670868961503
62,"HRIC distance to personal baseline",30,"Day 1-30",-0.28694913326787
62,"HRIC alpha diversity",60,"Day 1-60",0.000291637130235434
62,"HRIC distance to personal baseline",60,"Day 1-60",-0.257589478085789
63,"HRIC alpha diversity",30,"Day 1-30",0.0409272957458697
63,"HRIC distance to personal baseline",30,"Day 1-30",-0.582573529099862
63,"HRIC alpha diversity",60,"Day 1-60",0.0298957373666522
63,"HRIC distance to personal baseline",60,"Day 1-60",-0.397996917086277
64,"HRIC alpha diversity",30,"Day 1-30",0.0215141603374398
64,"HRIC distance to personal baseline",30,"Day 1-30",-0.448681016891127
64,"HRIC alpha diversity",60,"Day 1-60",0.00815194363505913
64,"HRIC distance to personal baseline",60,"Day 1-60",-0.328384450842124
65,"HRIC alpha diversity",30,"Day 1-30",0.0222061055091859
65,"HRIC distance to personal baseline",30,"Day 1-30",-0.293061965093345
65,"HRIC alpha diversity",60,"Day 1-60",0.0219413217652482
65,"HRIC distance to personal baseline",60,"Day 1-60",-0.271802600509882
66,"HRIC alpha diversity",30,"Day 1-30",0.0279082273272531
66,"HRIC distance to personal baseline",30,"Day 1-30",-0.48558672055239
66,"HRIC alpha diversity",60,"Day 1-60",0.0173092390907395
66,"HRIC distance to personal baseline",60,"Day 1-60",-0.320782676296661
67,"HRIC alpha diversity",30,"Day 1-30",-0.00312644259378882
