"Outcome","EventTime","Arm","Estimate","Lower","Upper"
"HRIC alpha diversity",23,"Control",0.0560201519755858,0.045692458209576,0.0663478457415957
"HRIC alpha diversity",23,"Auto-FMT",0.0732632109149248,0.0621274833164703,0.0843989385133793
"HRIC alpha diversity",24,"Control",0.0560096119651101,0.0458978506326652,0.0661213732975549
"HRIC alpha diversity",24,"Auto-FMT",0.0727374881151387,0.0619286295233281,0.0835463467069493
"HRIC alpha diversity",25,"Control",0.0559990719546343,0.046084909411931,0.0659132344973377
"HRIC alpha diversity",25,"Auto-FMT",0.0722117653153526,0.0617141377585482,0.082709392872157
"HRIC alpha diversity",26,"Control",0.0559885319441586,0.0462525182033648,0.0657245456849524
"HRIC alpha diversity",26,"Auto-FMT",0.0716860425155665,0.0614825769308818,0.0818895081002512
"HRIC alpha diversity",27,"Control",0.0559779919336828,0.0463995916936805,0.0655563921736852
"HRIC alpha diversity",27,"Auto-FMT",0.0711603197157804,0.0612324296626444,0.0810882097689163
"HRIC alpha diversity",28,"Control",0.0559674519232071,0.0465251014894752,0.065409802356939
"HRIC alpha diversity",28,"Auto-FMT",0.0706345969159942,0.060962107203965,0.0803070866280235
"HRIC alpha diversity",29,"Control",0.0559569119127313,0.0466281040988633,0.0652857197265993
"HRIC alpha diversity",29,"Auto-FMT",0.0701088741162081,0.0606699716956767,0.0795477765367395
"HRIC alpha diversity",30,"Control",0.0559463719022555,0.0467077696431614,0.0651849741613497
"HRIC alpha diversity",30,"Auto-FMT",0.069583151316422,0.0603543666763863,0.0788119359564577
"HRIC alpha diversity",31,"Control",0.0559358318917798,0.0467634095762536,0.065108254207306
"HRIC alpha diversity",31,"Auto-FMT",0.0690574285166359,0.0600136561669552,0.0781012008663166
"HRIC alpha diversity",32,"Control",0.055925291881304,0.0467945014705042,0.0650560822921039
"HRIC alpha diversity",32,"Auto-FMT",0.0685317057168497,0.0596462717912395,0.07741713964246
"HRIC alpha diversity",33,"Control",0.0559147518708283,0.046800708921812,0.0650287948198446
"HRIC alpha diversity",33,"Auto-FMT",0.0680059829170636,0.0592507662359777,0.0767611995981495
"HRIC alpha diversity",34,"Control",0.0559042118603525,0.0467818948747374,0.0650265288459676
"HRIC alpha diversity",34,"Auto-FMT",0.0674802601172775,0.0588258700421774,0.0761346501923776
"HRIC alpha diversity",35,"Control",0.0558936718498768,0.0467381271662145,0.0650492165335391
"HRIC alpha diversity",35,"Auto-FMT",0.0669545373174914,0.0583705474896747,0.0755385271453081
"HRIC alpha diversity",36,"Control",0.055883131839401,0.0466696757732985,0.0650965879055035
"HRIC alpha diversity",36,"Auto-FMT",0.0664288145177053,0.0578840464980937,0.0749735825373168
"HRIC alpha diversity",37,"Control",0.0558725918289253,0.0465770020214718,0.0651681816363787
"HRIC alpha diversity",37,"Auto-FMT",0.0659030917179191,0.0573659373321337,0.0744402461037046
"HRIC alpha diversity",38,"Control",0.0558620518184495,0.0464607407389334,0.0652633628979656
"HRIC alpha diversity",38,"Auto-FMT",0.065377368918133,0.0568161356625009,0.0739386021737651
"HRIC alpha diversity",39,"Control",0.0558515118079738,0.0463216769133809,0.0653813467025666
"HRIC alpha diversity",39,"Auto-FMT",0.0648516461183469,0.0562349071725049,0.0734683850641889
"HRIC alpha diversity",40,"Control",0.055840971797498,0.0461607187439082,0.0655212248510878
"HRIC alpha diversity",40,"Auto-FMT",0.0643259233185608,0.0556228531351665,0.073028993501955
"HRIC alpha diversity",41,"Control",0.0558304317870223,0.0459788690580011,0.0656819945160434
"HRIC alpha diversity",41,"Auto-FMT",0.0638002005187747,0.0549808787463125,0.0726195222912369
"HRIC alpha diversity",42,"Control",0.0558198917765465,0.045777196909873,0.06586258664322
"HRIC alpha diversity",42,"Auto-FMT",0.0632744777189885,0.0543101479733684,0.0722388074646087
"HRIC alpha diversity",43,"Control",0.0558093517660707,0.0455568108553819,0.0660618926767596
"HRIC alpha diversity",43,"Auto-FMT",0.0627487549192024,0.0536120298821314,0.0718854799562734
"HRIC alpha diversity",44,"Control",0.055798811755595,0.045318834989182,0.066278788522008
"HRIC alpha diversity",44,"Auto-FMT",0.0622230321194163,0.0528880416871387,0.0715580225516939
"HRIC alpha diversity",45,"Control",0.0557882717451192,0.0450643884054548,0.0665121550847836
"HRIC alpha diversity",45,"Auto-FMT",0.0616973093196302,0.0521397932358753,0.0712548254033851
"HRIC alpha diversity",46,"Control",0.0557777317346435,0.044794568360648,0.0667608951086389
"HRIC alpha diversity",46,"Auto-FMT",0.0611715865198441,0.0513689365534014,0.0709742364862867
"HRIC alpha diversity",47,"Control",0.0557671917241677,0.0445104371085609,0.0670239463397746
"HRIC alpha diversity",47,"Auto-FMT",0.060645863720058,0.0505771227664527,0.0707146046736632
"HRIC alpha diversity",48,"Control",0.055756651713692,0.0442130121571628,0.0673002912702212
"HRIC alpha diversity",48,"Auto-FMT",0.0601201409202718,0.0497659674733056,0.0704743143672381
"HRIC alpha diversity",49,"Control",0.0557461117032162,0.0439032595591965,0.067588963847236
"HRIC alpha diversity",49,"Auto-FMT",0.0595944181204857,0.0489370246069778,0.0702518116339936
"HRIC alpha diversity",50,"Control",0.0557355716927405,0.0435820897818588,0.0678890536036222
"HRIC alpha diversity",50,"Auto-FMT",0.0590686953206996,0.0480917681283336,0.0700456225130656
"HRIC alpha diversity",51,"Control",0.0557250316822647,0.0432503556876702,0.0681997076768592
"HRIC alpha diversity",51,"Auto-FMT",0.0585429725209135,0.0472315804746579,0.069854364567169
"HRIC alpha diversity",52,"Control",0.055714491671789,0.0429088521820539,0.068520131161524
"HRIC alpha diversity",52,"Auto-FMT",0.0580172497211273,0.046357746523541,0.0696767529187137
"HRIC alpha diversity",53,"Control",0.0557039516613132,0.0425583171284737,0.0688495861941527
