"Taxon","total_count","prevalence_n","prevalence_fraction","mean_relative_abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"AJUG01000001.1490901.1492402",215,26,0.15028901734104,4.79210205847265e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Joostella"
"AJXC01000443.5756.7214",418,36,0.208092485549133,8.52338102416756e-05,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"AJXC01002904.641.2162",630,19,0.109826589595376,0.000139377067900645,"Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera"
"AJXC01004589.237.1590",1049,72,0.416184971098266,0.000239225518539437,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"AJXC01007386.664.1844",955,89,0.514450867052023,0.000214008722714646,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"AM259746.1.1438",2575,111,0.641618497109827,0.000733309778349117,"Bacteria","Cyanobacteria","Chloroplast","uncultured",NA,NA
"AM259845.1.1375",201,35,0.202312138728324,5.5865727423317e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Pseudohongiella"
"AM259923.1.1491",67,22,0.127167630057803,1.31408856373513e-05,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"AM279185.8.1486",1223,76,0.439306358381503,0.000344690136100662,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS4"
"AM396933.1.1523",71,25,0.144508670520231,2.04312507066022e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"AM491003.1.1723",176,61,0.352601156069364,4.67731240909659e-05,"Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","Prymnesium","Prymnesium"
"AM491015.1.1801",164,56,0.323699421965318,4.73261255593031e-05,"Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","Imantonia","cf."
"AM491017.1.1785",377,74,0.427745664739884,9.49429738326717e-05,"Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","Chrysochromulina","Chrysochromulina"
"AM491020.1.1784",134,62,0.358381502890173,3.58444759604344e-05,"Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","Chrysochromulina","Chrysochromulina"
"AM747314.1.1270",4528,120,0.69364161849711,0.00116036609023291,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"AM747332.1.1244",2723,104,0.601156069364162,0.00067117683703644,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured"
"AM747335.1.1271",63,25,0.144508670520231,1.80466205563018e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"AM747363.1.1323",577,42,0.242774566473988,0.000178968396148472,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS4"
"AM747382.1.1283",2815,70,0.404624277456647,0.00081180094650144,"Bacteria","Cyanobacteria","Chloroplast","uncultured",NA,NA
"AM779755.1.1802",668,103,0.595375722543353,0.000169336255662144,"Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","Prymnesium","Prymnesium"
"AM990656.1.1426",111,36,0.208092485549133,2.66084193142043e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Winogradskyella"
"AM990657.1.1462",254,48,0.277456647398844,8.40222992001605e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"AM990836.1.1468",55,29,0.167630057803468,1.38088488086575e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium"
"AM997299.1.1488",85,20,0.115606936416185,1.78427842060195e-05,"Bacteria","Acidobacteria","Subgroup",NA,NA,NA
"AM997313.1.1476",572,31,0.179190751445087,0.000123189691848755,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"AM997335.1.1479",593,32,0.184971098265896,0.000130315349526111,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"AM997436.1.1474",231,24,0.138728323699422,5.17880401208878e-05,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"AM997449.1.1494",65,19,0.109826589595376,1.28438147266596e-05,"Bacteria","Acidobacteria","Subgroup",NA,NA,NA
"AM997469.1.1480",186,41,0.236994219653179,3.96223650400571e-05,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
