"Taxon","AHC","CLR_pc0.01","CLR_pc0.5","CLR_pc1","DESeq2","LEfSe"
"AB694428.1.1427",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB694432.1.1390",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB694507.1.1465",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB735546.1.1462",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB753929.1.1394",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB806173.1.1399",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"AB847985.1.1376",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB858566.1.1346",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB919367.1.1312",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB919381.1.1312",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB919403.1.1320",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB919432.1.1312",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB930652.1.1467",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"AB935793.1.1383",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB948221.1.2020",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"AB973983.1.1341",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB973992.1.1343",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB973995.1.1325",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB973997.1.1340",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974000.1.1343",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974010.1.1445",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB974011.1.1435",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB974014.1.1410",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974016.1.1380",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974028.1.1442",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AB974029.1.1470",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"AB974030.1.1420",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"AB974036.1.1415",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974040.1.1450",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974041.1.1385",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB974042.1.1430",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974045.1.1460",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974047.1.1425",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB974049.1.1400",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974050.1.1460",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974051.1.1440",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974058.1.1395",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"AB974066.1.1455",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"AB974068.1.1440",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974071.1.1395",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB974079.1.1385",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB974081.1.1465",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974082.1.1445",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974085.1.1420",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AB974092.1.1385",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AB974095.1.1453",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"AB974096.1.1415",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974097.1.1415",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974099.1.1395",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974100.1.1445",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974101.1.1445",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974105.1.1465",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974107.1.1380",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974111.1.1430",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AB974113.1.1445",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB974114.1.1425",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AB974121.1.1375",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"AB974122.1.1430",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974123.1.1460",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"AB974126.1.1425",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974129.1.1435",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974134.1.1382",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974137.1.1425",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AB974139.1.1390",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974143.1.1420",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"AB974145.1.1470",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974150.1.1385",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB974153.1.1395",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
