"method","MethodLabel","Taxon","baseMean","statistic","p_value","padj","significant","total_count","prevalence_n","prevalence_fraction","mean_relative_abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"DESeq2_LRT","DESeq2","GU234489.1.1317",7.97038894768173,1.11761538962537,0.571890525553115,0.614584656953855,FALSE,1450,55,0.317919075144509,0.000420932099715233,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"DESeq2_LRT","DESeq2","GU234672.1.1326",3.91791978425918,3.06828690161126,0.215640318628398,0.258281059600116,FALSE,641,66,0.38150289017341,0.000175492997588345,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"DESeq2_LRT","DESeq2","GU234688.1.1327",0.513667508577329,0.439181485148538,0.802847301956598,0.829215486681007,FALSE,125,27,0.15606936416185,3.35795930868737e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospira"
"DESeq2_LRT","DESeq2","GU234714.1.1357",0.750728577337347,4.19697981783321,0.122641488306993,0.156412332913266,FALSE,136,36,0.208092485549133,3.85070583074707e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"DESeq2_LRT","DESeq2","GU234715.1.1349",6.82916119140915,2.14667571526462,0.341865512475992,0.390225342679399,FALSE,2327,34,0.196531791907514,0.000728420149953939,"Bacteria","Proteobacteria","Alphaproteobacteria","Emcibacterales","Emcibacteraceae","Emcibacter"
"DESeq2_LRT","DESeq2","GU234716.1.1377",1.21048574439988,4.87011346045193,0.0875927777490295,0.116885488495759,FALSE,223,31,0.179190751445087,6.7758982609498e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
"DESeq2_LRT","DESeq2","GU234725.1.1357",0.869445759559069,107.177368469001,5.33003602654572e-24,1.3437452988005e-22,TRUE,188,43,0.248554913294798,4.14556982608745e-05,"Bacteria","Nitrospinae","Nitrospinia","Nitrospinales","Nitrospinaceae","uncultured"
"DESeq2_LRT","DESeq2","GU234735.1.1317",7.45801777740878,0.126433559423276,0.938739951854162,0.951387035082097,FALSE,1356,111,0.641618497109827,0.000379184822536435,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"DESeq2_LRT","DESeq2","GU234740.1.1373",3.87861590944122,98.2285080876003,4.67681817732577e-22,9.44271860564821e-21,TRUE,685,54,0.312138728323699,0.000200724056801686,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Granulosicoccaceae","Granulosicoccus"
"DESeq2_LRT","DESeq2","GU234752.1.1368",0.551064455693703,3.1932367605217,0.202580410926378,0.244712519181721,FALSE,105,22,0.127167630057803,2.59987538131708e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL-ETNP-Y6","uncultured"
"DESeq2_LRT","DESeq2","GU234811.1.1364",1.33540000441527,0.907175331145481,0.635344653716706,0.674538462311568,FALSE,375,46,0.265895953757225,9.58161736751907e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","uncultured"
"DESeq2_LRT","DESeq2","GU234830.1.1378",1.61425169210809,0.801911789790211,0.669679596675451,0.705530977839237,FALSE,276,61,0.352601156069364,6.86003529653397e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL-ETNP-Y6","uncultured"
"DESeq2_LRT","DESeq2","GU234835.1.1366",10.4480048978597,3.2340587262479,0.198487458318815,0.240828695525222,FALSE,1850,83,0.479768786127168,0.000555567005342165,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9",NA
"DESeq2_LRT","DESeq2","GU234855.1.1364",1.94926654055556,10.441732182097,0.00540264791455862,0.0093429550884321,TRUE,622,51,0.294797687861272,0.000197563033431708,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Fluviicola"
"DESeq2_LRT","DESeq2","GU234856.1.1384",12.0098290108412,2.55995590518432,0.278043430522527,0.325314842455192,FALSE,2377,39,0.225433526011561,0.000633044900874688,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Balneatrix"
"DESeq2_LRT","DESeq2","GU234874.1.1371",0.796157581808525,0.508807902563035,0.775378523627846,0.803815388797571,FALSE,293,51,0.294797687861272,7.29746764616369e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS4"
"DESeq2_LRT","DESeq2","GU234880.1.1372",2.90558593543014,7.28495788015414,0.0261873465737192,0.0394629351921895,TRUE,524,94,0.543352601156069,0.000137214674392236,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9",NA
"DESeq2_LRT","DESeq2","GU234892.1.1393",3.45873020089562,22.4237099267004,1.35130460734372e-05,3.57283712508567e-05,TRUE,624,49,0.283236994219653,0.000182108637853109,"Bacteria","PAUC34f","uncultured",NA,NA,NA
"DESeq2_LRT","DESeq2","GU234899.1.1359",2.18403069271215,0.541181106188219,0.762928811303721,0.792847588217592,FALSE,851,32,0.184971098265896,0.000202525410346626,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter"
"DESeq2_LRT","DESeq2","GU234920.1.1376",1.54096723283152,4.27625587779983,0.117875306372682,0.150952890972595,FALSE,262,41,0.236994219653179,5.90303302573695e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SS1-B-06-26","uncultured"
"DESeq2_LRT","DESeq2","GU234924.1.1369",2.05299758480736,2.71105401882068,0.257811389614988,0.303951547311502,FALSE,366,34,0.196531791907514,0.000109608737343874,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Pseudohongiella"
"DESeq2_LRT","DESeq2","GU234925.1.1333",2.02409037628478,0.238244586156213,0.887699234651805,0.90576005915905,FALSE,350,39,0.225433526011561,9.72889956599686e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured"
"DESeq2_LRT","DESeq2","GU234935.1.1331",1.95570523214152,27.4803543620869,1.07824355248861e-06,3.39333868340547e-06,TRUE,319,67,0.38728323699422,8.33161497823229e-05,"Bacteria","Cyanobacteria","Chloroplast","uncultured",NA,NA
"DESeq2_LRT","DESeq2","GU234947.1.1288",20.4631395805992,6.07853888677369,0.0478698483572174,0.0681725107597136,FALSE,3367,84,0.485549132947977,0.000897890951449351,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86",NA
"DESeq2_LRT","DESeq2","GU234954.1.1327",0.712233788244368,40.9477234859912,1.28326048611063e-09,6.13859169971279e-09,TRUE,134,34,0.196531791907514,3.41293738915668e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured"
"DESeq2_LRT","DESeq2","GU234956.1.1359",2.6961663532322,0.10487631256899,0.948913003547041,0.960653407541437,FALSE,464,50,0.289017341040462,0.000136330596774299,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria",NA,NA
