"rep_id","transformation","power","fdr","TP","FP","FN","rejections","alpha","beta0","beta","q"
42,"ILR",0,1,0,3,25,3,1,1,1,0.2
43,"AHC",0.08,0.5,2,2,23,4,1,1,1,0.2
43,"ALR",0.12,0,3,0,22,3,1,1,1,0.2
43,"CLR",0.08,0.333333333333333,2,1,23,3,1,1,1,0.2
43,"ILR",0,1,0,3,25,3,1,1,1,0.2
44,"AHC",0.08,0.333333333333333,2,1,23,3,1,1,1,0.2
44,"ALR",0.08,0,2,0,23,2,1,1,1,0.2
44,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
44,"ILR",0,1,0,3,25,3,1,1,1,0.2
45,"AHC",0,NA,0,0,25,0,1,1,1,0.2
45,"ALR",0,NA,0,0,25,0,1,1,1,0.2
45,"CLR",0,NA,0,0,25,0,1,1,1,0.2
45,"ILR",0,1,0,1,25,1,1,1,1,0.2
46,"AHC",0,1,0,1,25,1,1,1,1,0.2
46,"ALR",0,NA,0,0,25,0,1,1,1,0.2
46,"CLR",0,NA,0,0,25,0,1,1,1,0.2
46,"ILR",0,1,0,1,25,1,1,1,1,0.2
47,"AHC",0,NA,0,0,25,0,1,1,1,0.2
47,"ALR",0,NA,0,0,25,0,1,1,1,0.2
47,"CLR",0,NA,0,0,25,0,1,1,1,0.2
47,"ILR",0.04,0.5,1,1,24,2,1,1,1,0.2
48,"AHC",0,1,0,2,25,2,1,1,1,0.2
48,"ALR",0,NA,0,0,25,0,1,1,1,0.2
48,"CLR",0,1,0,1,25,1,1,1,1,0.2
48,"ILR",0,1,0,2,25,2,1,1,1,0.2
49,"AHC",0.08,0.333333333333333,2,1,23,3,1,1,1,0.2
49,"ALR",0.2,0,5,0,20,5,1,1,1,0.2
49,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
49,"ILR",0,1,0,2,25,2,1,1,1,0.2
50,"AHC",0.04,0.666666666666667,1,2,24,3,1,1,1,0.2
50,"ALR",0.08,0,2,0,23,2,1,1,1,0.2
50,"CLR",0.08,0,2,0,23,2,1,1,1,0.2
50,"ILR",0,1,0,2,25,2,1,1,1,0.2
51,"AHC",0,NA,0,0,25,0,1,1,1,0.2
51,"ALR",0,NA,0,0,25,0,1,1,1,0.2
51,"CLR",0,NA,0,0,25,0,1,1,1,0.2
51,"ILR",0,1,0,1,25,1,1,1,1,0.2
52,"AHC",0.04,0,1,0,24,1,1,1,1,0.2
