"replicate","k","signal_mode","beta","normalized_between_group_turnover","manova_pseudo_F","ss_between"
66,12,"Abundance",0.05,0.00318653665449064,0.858284171039993,0.746418395550137
67,12,"Abundance",0.05,0.00399598093183347,1.06926689281728,0.936023651755189
68,12,"Abundance",0.05,0.00372195260359014,1.00175063708547,0.871834907899237
69,12,"Abundance",0.05,0.00378705728474681,1.0184658398119,0.887085111151506
70,12,"Abundance",0.05,0.00391975553897896,1.05213556625466,0.918168518862094
71,12,"Abundance",0.05,0.00371301009254894,0.989897053019402,0.869740202748383
72,12,"Abundance",0.05,0.00429740587741068,1.14396413846298,1.00662981407235
73,12,"Abundance",0.05,0.00406100346184907,1.08957246688198,0.951254611819768
74,12,"Abundance",0.05,0.00383848545643085,1.02340202273595,0.899131711444144
75,12,"Abundance",0.05,0.00369937145635168,0.990427761974413,0.866545471272914
76,12,"Abundance",0.05,0.00338618136648155,0.890393469385429,0.793183426604881
77,12,"Abundance",0.05,0.0037516087302569,1.00843674923317,0.87878159669808
78,12,"Abundance",0.05,0.00410781316189083,1.10493080945393,0.962219375445538
79,12,"Abundance",0.05,0.00371791050503461,1.00442818508555,0.870888081596698
80,12,"Abundance",0.05,0.00343810965333063,0.913601962186724,0.805347174509349
81,12,"Abundance",0.05,0.00353856156915743,0.945896384131242,0.828877158931688
82,12,"Abundance",0.05,0.00412521436184044,1.11401646037869,0.966295454636002
83,12,"Abundance",0.05,0.00367243138703652,0.986499383548046,0.860234995199806
84,12,"Abundance",0.05,0.00400688404027493,1.06253896638284,0.938577609732703
85,12,"Abundance",0.05,0.00357018705380517,0.950457238005302,0.836285152646735
86,12,"Abundance",0.05,0.00368353704463944,1.00104190188809,0.862836398550314
87,12,"Abundance",0.05,0.00346524839983472,0.920984048044228,0.81170418897967
88,12,"Abundance",0.05,0.00356496529181491,0.953409106737984,0.835062000482083
89,12,"Abundance",0.05,0.00379260035310645,1.00189783594862,0.888383526528463
90,12,"Abundance",0.05,0.0035051193436335,0.93751311573144,0.821043609524991
91,12,"Abundance",0.05,0.00380764491419239,1.02978851416971,0.891907583636564
92,12,"Abundance",0.05,0.00387420137223498,1.02769398567816,0.907497852951586
93,12,"Abundance",0.05,0.00380359900721569,1.02826736400052,0.890959865244625
