diff_otu_direct,diff_otu_mode,depth_mu,depth_theta,covariate_eff_sd,confounder_eff_sd,depth_conf_factor,diff_otu_pct,transformation,mean_power,mean_fdp,sd_power,n_rep
balanced,rare,1000,3.94,0,0,0,0.1,AHC,0.032999999999999995,0.01499999999999999,0.055149017592466196,100
balanced,rare,1000,3.94,0,0,0,0.1,ALR_last_ref,0.03666666666666664,0.013333333333333343,0.06590473688161068,100
balanced,rare,1000,3.94,0,0,0,0.1,ALR_minvar_ref,0.028222222222222218,0.019999999999999993,0.054098052891017503,100
balanced,rare,1000,3.94,0,0,0,0.1,ALR_nondiff_ref,0.014999999999999998,0.004999999999999997,0.038599209705627295,100
balanced,rare,1000,3.94,0,0,0,0.1,ALR_random_ref,0.00833333333333333,0.029666666666666668,0.035502731523491655,100
balanced,rare,1000,3.94,0,0,0,0.1,ALR_signal_ref,0.08444444444444438,0.15097924297924295,0.13318360466922113,100
balanced,rare,1000,3.94,0,0,0,0.1,CLR,0.039,0.01999999999999999,0.05842201051942076,100
balanced,rare,1000,3.94,0,0,0,0.1,ILR,0.012,0.23999999999999996,0.032659863237109045,100
balanced,rare,1000,3.94,0,0,0,0.1,RAHC_last_ref,0.024555555555555535,0.024999999999999994,0.04997305671365716,100
balanced,rare,1000,3.94,0,0,0,0.1,RAHC_minvar_ref,0.018999999999999996,0.009999999999999993,0.041911402464790616,100
balanced,rare,1000,3.94,0,0,0,0.1,RAHC_nondiff_ref,0.009999999999999998,0.01999999999999999,0.03333333333333334,100
balanced,rare,1000,3.94,0,0,0,0.1,RAHC_random_ref,0.007222222222222222,0.02727272727272727,0.03885680895858784,100
balanced,rare,1000,3.94,0,0,0,0.1,RAHC_signal_ref,0.04777777777777773,0.11528571428571431,0.08092093690559629,100
balanced,rare,1000,3.94,0,0,0,0.2,AHC,0.031,0,0.034655592636832835,100
balanced,rare,1000,3.94,0,0,0,0.2,ALR_last_ref,0.047842105263157894,0.0425,0.055523147322869414,100
balanced,rare,1000,3.94,0,0,0,0.2,ALR_minvar_ref,0.03160526315789474,0.037476190476190496,0.0599176512686035,100
balanced,rare,1000,3.94,0,0,0,0.2,ALR_nondiff_ref,0.010999999999999996,0.01499999999999999,0.0252062201718849,100
balanced,rare,1000,3.94,0,0,0,0.2,ALR_random_ref,0.020947368421052638,0.02594444444444444,0.06892214171773596,100
balanced,rare,1000,3.94,0,0,0,0.2,ALR_signal_ref,0.053684210526315786,0.05000000000000001,0.05597063661584591,100
balanced,rare,1000,3.94,0,0,0,0.2,CLR,0.03849999999999999,0.05333333333333335,0.04011032764561247,100
balanced,rare,1000,3.94,0,0,0,0.2,ILR,0.025,0.19000000000000003,0.03588702812826367,100
balanced,rare,1000,3.94,0,0,0,0.2,RAHC_last_ref,0.029947368421052632,0.048333333333333325,0.04179474146484737,100
balanced,rare,1000,3.94,0,0,0,0.2,RAHC_minvar_ref,0.022263157894736853,0.0029999999999999983,0.05061172008559542,100
balanced,rare,1000,3.94,0,0,0,0.2,RAHC_nondiff_ref,0.007499999999999995,0,0.022890825651118392,100
balanced,rare,1000,3.94,0,0,0,0.2,RAHC_random_ref,0.00992105263157895,0.0333333333333333,0.031275914015486836,100
balanced,rare,1000,3.94,0,0,0,0.2,RAHC_signal_ref,0.03263157894736842,0.06083333333333334,0.04347840685525442,100
balanced,rare,1000,3.94,0.5,0,0,0.05,AHC,0.028000000000000004,0.05,0.06974701760395544,100
balanced,rare,1000,3.94,0.5,0,0,0.05,ALR_last_ref,0.0225,0.06999999999999998,0.07600338907914012,100
balanced,rare,1000,3.94,0.5,0,0,0.05,ALR_minvar_ref,0.03250000000000001,0.08500000000000002,0.08971757032065912,100
balanced,rare,1000,3.94,0.5,0,0,0.05,ALR_nondiff_ref,0.022,0.02999999999999998,0.0746439359339871,100
balanced,rare,1000,3.94,0.5,0,0,0.05,ALR_random_ref,0.019000000000000003,0.03999999999999998,0.061043121039660364,100
balanced,rare,1000,3.94,0.5,0,0,0.05,ALR_signal_ref,0.085,0.27669105691056906,0.17487369179155599,100
balanced,rare,1000,3.94,0.5,0,0,0.05,CLR,0.03599999999999999,0.09500000000000001,0.08706203523808743,100
balanced,rare,1000,3.94,0.5,0,0,0.05,ILR,0.009999999999999998,0.18499999999999997,0.043808582711518045,100
balanced,rare,1000,3.94,0.5,0,0,0.05,RAHC_last_ref,0.014499999999999996,0.049999999999999975,0.06042567853373789,100
balanced,rare,1000,3.94,0.5,0,0,0.05,RAHC_minvar_ref,0.020500000000000004,0.045,0.06820016588148912,100
balanced,rare,1000,3.94,0.5,0,0,0.05,RAHC_nondiff_ref,0.011999999999999993,0.039999999999999994,0.055559595812682876,100
balanced,rare,1000,3.94,0.5,0,0,0.05,RAHC_random_ref,0.0059999999999999975,0.029999999999999978,0.03428932159955304,100
balanced,rare,1000,3.94,0.5,0,0,0.05,RAHC_signal_ref,0.06999999999999999,0.1282291666666667,0.15521246435421704,100
balanced,rare,1000,3.94,0.5,0,0,0.1,AHC,0.04900000000000001,0.039999999999999994,0.06275654418770876,100
balanced,rare,1000,3.94,0.5,0,0,0.1,ALR_last_ref,0.046222222222222185,0.06666666666666667,0.07917960691296479,100
balanced,rare,1000,3.94,0.5,0,0,0.1,ALR_minvar_ref,0.04677777777777777,0.01999999999999999,0.0641168771611645,100
balanced,rare,1000,3.94,0.5,0,0,0.1,ALR_nondiff_ref,0.024,0.014999999999999989,0.047396884353980935,100
balanced,rare,1000,3.94,0.5,0,0,0.1,ALR_random_ref,0.02088888888888888,0.05866666666666669,0.06538765616880056,100
balanced,rare,1000,3.94,0.5,0,0,0.1,ALR_signal_ref,0.1188888888888888,0.19394697756703663,0.1508631688738463,100
balanced,rare,1000,3.94,0.5,0,0,0.1,CLR,0.065,0.06999999999999997,0.07703468981143123,100
balanced,rare,1000,3.94,0.5,0,0,0.1,ILR,0.018,0.4,0.04114522199392407,100
balanced,rare,1000,3.94,0.5,0,0,0.1,RAHC_last_ref,0.03644444444444442,0.06166666666666665,0.06902090821840276,100
balanced,rare,1000,3.94,0.5,0,0,0.1,RAHC_minvar_ref,0.03533333333333333,0.04999999999999999,0.05615568120180101,100
balanced,rare,1000,3.94,0.5,0,0,0.1,RAHC_nondiff_ref,0.019,0.02999999999999998,0.04425591326123392,100
balanced,rare,1000,3.94,0.5,0,0,0.1,RAHC_random_ref,0.008222222222222221,0.029999999999999978,0.028056736204336113,100
balanced,rare,1000,3.94,0.5,0,0,0.1,RAHC_signal_ref,0.07666666666666659,0.1615365105908584,0.11464090228129659,100
balanced,rare,1000,3.94,0.5,0,0,0.2,AHC,0.0405,0,0.037399697508634644,100
